,age,Gender,Educational Qualification ,income,Family type, Location,reside,Occupation,dependent,marital_status,Mother tongue,read_eWOMS, Save time,Detailed product information,Visual demonstrations in video reviews,Trust in reputable reviewers,Recommendations from like-minded individuals,Engaging with a community of reviewers,Availability of a wide range of information,Reviews are transparent and authentic,Assurance of customer satisfaction,Confirmation of product suitability for specific needs,Confidence in my knowledge about the product ,Lack of interest in others opinion,Confidence in my own decision making abilities,Prefer seek advice from experts,Review creates confusion,Difference in eWOM and product quality
206,33,Male,HSC,20000-80000,Joint,Rural,Tower,Business,1,Married,Others,yes,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree
207,38,Male,SSC,20000-80000,Joint,Rural,Tower,Other,1,Married,Others,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree
208,22,Female,Post Graduation,80000 and above,Joint,Urban,Tower,Service,1,Single,Marathi,no,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
209,23,Male,SSC,20000-80000,Joint,Urban,Bulding,Student,2,Single,Hindi,no,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral
210,25,Male,HSC,20000-80000,Nuclear,Urban,Bunglaw,Other,0,Single,Marathi,yes,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree
211,54,Female,SSC,20000-80000,Nuclear,Urban,Tower,Student,0,Married,Marathi,yes,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Disagree
212,21,Female,SSC,20000-80000,Nuclear,Urban,Tower,Service,3,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
213,23,Male,SSC,0-20000,Joint,Rural,Slum,Service,5,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree
214,23,Male,Graduation,20000-80000,Joint,Rural,Bulding,Student,1,Single,Marathi,no,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
215,23,Male,HSC,0-20000,Joint,Urban,Slum,Student,0,Single,Marathi,yes,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree
216,21,Female,SSC,20000-80000,Joint,Urban,Tower,Service,1,Single,Marathi,yes,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Neutral
217,22,Female,HSC,20000-80000,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral
218,23,Female,Graduation,80000 and above,Joint,Rural,Tower,Service,2,Single,Marathi,yes,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral
219,24,Female,HSC,20000-80000,Joint,Urban,Tower,Student,3,Single,Marathi,yes,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral
220,23,Female,HSC,20000-80000,Joint,Urban,Tower,Service,2,Single,Marathi,yes,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Disagree
221,22,Male,Post Graduation,0-20000,Joint,Urban,Tower,Service,0,Single,Marathi,yes,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree
222,20,Female,Post Graduation,20000-80000,Joint,Rural,Slum,Service,1,Single,Marathi,yes,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree
223,22,Male,Graduation,0-20000,Joint,Urban,Slum,Other,1,Single,Marathi,yes,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral
224,25,Male,HSC,80000 and above,Nuclear,Rural,Tower,Student,0,Single,Marathi,yes,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree
225,22,Female,SSC,80000 and above,Joint,Urban,Tower,Service,3,Single,Marathi,yes,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree
226,35,Female,SSC,80000 and above,Joint,Urban,Slum,Student,0,Married,Marathi,yes,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree
227,18,Female,HSC,20000-80000,Joint,Urban,Bunglaw,Service,0,Single,Hindi,yes,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly disagree
228,20,Male,Graduation,20000-80000,Joint,Rural,Tower,Student,0,Single,Marathi,yes,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly disagree
229,26,Female,HSC,20000-80000,Nuclear,Urban,Bulding,Student,2,Single,Hindi,no,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
230,30,Female,SSC,20000-80000,Joint,Rural,Slum,Business,0,Married,Marathi,yes,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree
231,38,Female,HSC,80000 and above,Nuclear,Rural,Slum,Business,2,Married,Marathi,yes,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
232,22,Female,SSC,80000 and above,Joint,Rural,Tower,Student,1,Single,Hindi,yes,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree
233,23,Female,HSC,20000-80000,Nuclear,Urban,Tower,Service,0,Single,Marathi,yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree
234,28,Female,Post Graduation,80000 and above,Joint,Rural,Slum,Student,0,Married,Marathi,yes,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree
235,29,Female,HSC,20000-80000,Nuclear,Urban,Tower,Student,2,Single,Hindi,no,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
236,27,Female,Post Graduation,80000 and above,Nuclear,Rural,Bunglaw,Other,0,Married,Marathi,no,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
237,29,Female,Graduation,80000 and above,Nuclear,Urban,Tower,Service,0,Single,Marathi,yes,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree
238,26,Male,Post Graduation,20000-80000,Joint,Rural,Slum,Student,1,Single,Hindi,no,Strongly agree,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree
239,33,Male,SSC,80000 and above,Nuclear,Rural,Slum,Other,3,Married,Marathi,yes,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree
240,45,Male,SSC,20000-80000,Nuclear,Urban,Tower,Student,2,Married,Hindi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
241,40,Male,Graduation,80000 and above,Joint,Urban,Tower,Student,2,Married,Marathi,yes,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree
242,47,Male,SSC,20000-80000,Joint,Urban,Tower,Student,1,Married,Hindi,no,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree
243,35,Male,SSC,0-20000,Joint,Urban,Slum,Student,0,Married,Marathi,no,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral
244,30,Male,HSC,20000-80000,Nuclear,Urban,Tower,Student,2,Married,Hindi,no,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree
245,22,Male,HSC,0-20000,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral
246,22,Female,HSC,20000-80000,Joint,Urban,Slum,Service,1,Single,Marathi,yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Disagree,Disagree,Strongly disagree
247,24,Female,Graduation,0-20000,Joint,Rural,Slum,Student,1,Married,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree
248,44,Male,SSC,80000 and above,Joint,Rural,Slum,Other,3,Married,Marathi,no,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
249,25,Female,HSC,20000-80000,Joint,Rural,Tower,Service,0,Single,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
250,28,Male,HSC,80000 and above,Joint,Urban,Tower,Other,3,Single,Marathi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
251,22,Female,HSC,0-20000,Joint,Rural,Tower,Service,1,Single,Hindi,yes,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
252,22,Male,HSC,20000-80000,Joint,Urban,Tower,Other,1,Single,Marathi,yes,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree
253,22,Female,Post Graduation,0-20000,Joint,Urban,Bulding,Service,3,Single,Marathi,yes,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral
254,30,Male,Post Graduation,0-20000,Nuclear,Urban,Slum,Student,2,Single,Hindi,no,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree
255,28,Female,Graduation,20000-80000,Joint,Rural,Tower,Service,4,Married,Marathi,no,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree
256,24,Male,Graduation,20000-80000,Joint,Urban,Tower,Student,2,Single,Marathi,no,Strongly agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Neutral
257,19,Female,Graduation,20000-80000,Joint,Urban,Tower,Service,3,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Neutral
258,22,Male,Post Graduation,0-20000,Joint,Urban,Tower,Service,3,Single,English,yes,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
259,19,Female,HSC,80000 and above,Nuclear,Urban,Tower,Service,2,Single,Hindi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
260,23,Female,Post Graduation,80000 and above,Joint,Urban,Tower,Service,3,Single,Hindi,yes,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree
261,24,Male,Graduation,20000-80000,Nuclear,Urban,Tower,Student,3,Single,Marathi,no,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
262,19,Female,Post Graduation,0-20000,Joint,Urban,Bulding,Service,2,Single,Marathi,yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
263,18,Female,HSC,0-20000,Joint,Urban,Bunglaw,Service,1,Single,Hindi,no,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
264,32,Female,HSC,80000 and above,Joint,Urban,Bunglaw,Student,1,Married,Marathi,yes,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree
265,29,Female,Post Graduation,20000-80000,Joint,Urban,Tower,Student,0,Married,Marathi,yes,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
266,21,Male,Graduation,20000-80000,Joint,Urban,Tower,Service,1,Single,Hindi,yes,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral
267,27,Male,HSC,20000-80000,Joint,Rural,Slum,Student,2,Single,Marathi,yes,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral
268,28,Female,Graduation,20000-80000,Joint,Rural,Bunglaw,Other,3,Married,Hindi,no,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral
269,30,Male,SSC,80000 and above,Joint,Urban,Slum,Other,2,Single,Marathi,no,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree
270,24,Female,Graduation,0-20000,Nuclear,Urban,Tower,Service,1,Single,Hindi,no,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree
271,18,Female,HSC,20000-80000,Nuclear,Rural,Bulding,Service,5,Single,Marathi,no,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
272,28,Female,Graduation,20000-80000,Joint,Rural,Tower,Student,2,Married,Hindi,yes,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral
273,27,Female,HSC,80000 and above,Nuclear,Rural,Slum,Student,2,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree
274,22,Female,Graduation,80000 and above,Nuclear,Urban,Tower,Student,0,Single,Marathi,no,Strongly disagree,Disagree,Disagree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
275,33,Female,HSC,80000 and above,Nuclear,Rural,Tower,Student,2,Married,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree
276,22,Male,HSC,20000-80000,Nuclear,Rural,Bulding,Service,1,Single,Marathi,yes,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
277,23,Male,Post Graduation,0-20000,Nuclear,Urban,Bunglaw,Student,0,Single,Others,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
278,37,Female,SSC,80000 and above,Nuclear,Rural,Slum,Business,0,Married,Marathi,yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree
279,20,Female,Post Graduation,20000-80000,Joint,Rural,Tower,Service,4,Single,Marathi,yes,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral
280,24,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Service,2,Single,Hindi,yes,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral
281,24,Male,HSC,80000 and above,Joint,Urban,Tower,Student,1,Single,Hindi,no,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
282,18,Male,Post Graduation,0-20000,Joint,Rural,Tower,Service,2,Single,Marathi,no,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree
283,18,Female,Post Graduation,0-20000,Joint,Rural,Bunglaw,Service,2,Single,Marathi,no,Agree,Disagree,Agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral
284,21,Male,Post Graduation,0-20000,Joint,Urban,Tower,Service,5,Married,Others,yes,Agree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Neutral
285,24,Female,Post Graduation,20000-80000,Nuclear,Rural,Slum,Business,2,Married,Marathi,no,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral
286,23,Female,SSC,0-20000,Joint,Urban,Tower,Student,1,Single,Marathi,no,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
287,22,Male,Post Graduation,80000 and above,Nuclear,Rural,Slum,Service,2,Single,Marathi,yes,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral
288,26,Female,Graduation,20000-80000,Nuclear,Urban,Bunglaw,Student,0,Single,Others,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly disagree
289,21,Male,Post Graduation,80000 and above,Joint,Rural,Slum,Student,0,Single,Hindi,no,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree
290,26,Male,SSC,20000-80000,Joint,Rural,Slum,Student,0,Single,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
291,23,Female,SSC,20000-80000,Joint,Urban,Bunglaw,Service,1,Single,Marathi,yes,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Neutral
292,22,Male,SSC,80000 and above,Nuclear,Urban,Tower,Service,1,Single,Hindi,yes,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
293,23,Female,Post Graduation,20000-80000,Nuclear,Rural,Tower,Service,1,Single,Marathi,yes,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree
294,24,Male,Graduation,20000-80000,Joint,Urban,Tower,Student,1,Single,Marathi,no,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral
295,24,Male,Post Graduation,80000 and above,Joint,Urban,Tower,Service,1,Single,Marathi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
296,22,Male,Graduation,20000-80000,Nuclear,Urban,Slum,Service,4,Single,Marathi,no,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
297,19,Female,Graduation,20000-80000,Joint,Rural,Slum,Service,3,Single,Marathi,yes,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral
298,51,Male,SSC,20000-80000,Nuclear,Rural,Bulding,Other,5,Married,Marathi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
299,38,Male,Graduation,20000-80000,Joint,Urban,Bulding,Student,1,Married,Marathi,no,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
300,26,Female,Graduation,20000-80000,Nuclear,Urban,Slum,Student,2,Single,Marathi,no,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
301,28,Male,HSC,80000 and above,Joint,Urban,Bunglaw,Student,2,Married,Marathi,no,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
302,43,Female,Post Graduation,20000-80000,Joint,Urban,Bulding,Student,1,Married,Marathi,no,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
303,30,Female,HSC,80000 and above,Joint,Urban,Bunglaw,Student,0,Married,Marathi,no,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral
304,22,Female,SSC,20000-80000,Nuclear,Rural,Tower,Business,0,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
305,26,Male,Post Graduation,20000-80000,Joint,Rural,Tower,Student,1,Single,Marathi,no,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral
306,28,Male,HSC,80000 and above,Nuclear,Rural,Slum,Student,0,Single,Marathi,yes,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Strongly disagree
